西元年月	股票代碼	公司簡稱	EPS	ROA(C)稅前息前折舊前	ROE(A)─稅後	每股淨值(B)	當季季底P/B	營業收入毛額	合併總損益	稅前息前折舊前淨利	營業毛利率	Tobins Q	稅前淨利率TSE	營收成長率	營業毛利成長率	流動比率	負債比率％	合併(Y/N)
201603	000116 	日盛證券    	            .23	            .75	           1.19	          19.11	              -	              -	      262357.00	      370302.00	          88.14	            .46	          34.21	          -9.31	              -	         164.88	          55.69	Y
201603	000930 	華南永昌證券	            .06	            .36	            .41	          14.53	              -	              -	       47842.00	      106671.00	          89.77	            .47	          11.67	          -9.80	              -	         148.36	          59.44	Y
201603	000960 	富邦證券    	            .22	            .55	           1.12	          19.56	              -	              -	      358185.00	      490952.00	          90.14	            .36	          25.95	          -5.79	              -	         143.41	          65.90	Y
201603	0009A0 	永豐金證券  	            .21	            .38	           1.35	          15.95	              -	              -	      347198.00	      465087.00	          76.45	            .35	          20.44	          -9.75	              -	         122.89	          79.46	Y
201603	1101   	台泥        	            .06	            .89	            .06	          29.17	           1.08	    17724112.00	       94527.00	     2612921.00	           8.95	            .76	           1.57	         -17.33	         -44.58	         121.08	          44.50	Y
201603	1102   	亞泥        	            .06	            .82	            .13	          37.90	            .78	    12731459.00	      194459.00	     2122447.00	           7.66	            .74	           2.17	         -15.12	         -38.86	          82.27	          42.86	Y
201603	1103   	嘉泥        	           -.29	           -.18	          -1.35	          19.13	            .59	      431884.00	     -188985.00	      -69807.00	           -.62	            .67	         -35.39	         -19.38	          95.60	         677.72	          47.85	Y
201603	1104   	環泥        	            .55	           1.89	           2.12	          25.81	            .87	     1105803.00	      342983.00	      380571.00	          10.44	            .78	          31.01	         -16.70	           4.82	         120.46	          19.06	Y
201603	1108   	幸福        	            .26	           2.73	           2.15	          12.13	            .84	      997131.00	      104371.00	      213847.00	          19.16	            .75	          12.73	         -22.63	         -29.33	         255.55	          36.12	Y
201603	1109   	信大        	           -.03	            .68	           -.52	          14.28	            .70	      866726.00	      -33204.00	       58051.00	           7.86	            .59	          -3.03	          -7.96	         -40.32	         239.01	          25.27	Y
201603	1110   	東泥        	            .21	            .20	           2.47	          15.41	            .99	      365302.00	      216613.00	      202877.00	           9.52	            .91	          51.42	         -19.30	         -21.90	         824.29	           6.04	Y
201603	1201   	味全        	           -.21	           -.68	          -1.58	          11.17	           1.77	     3518095.00	      -82461.00	      178290.00	          23.97	            .88	          -4.53	         -20.00	         -28.59	          93.44	          76.73	Y
201603	1203   	味王        	            .37	           2.21	           2.36	          18.11	           1.20	     1536855.00	      122961.00	      182899.00	          23.04	            .69	           9.15	          -6.44	         -10.98	         258.68	          36.07	Y
201603	1210   	大成        	            .73	           3.12	           3.06	          20.65	           1.08	    17743529.00	      597271.00	     1149543.00	          13.62	            .68	           3.82	         -11.63	          29.41	         124.42	          48.84	Y
201603	1213   	大飲        	            .10	           1.25	            .73	          13.28	           1.38	      152465.00	        4984.00	       10557.00	          13.98	           1.13	           4.00	         -16.55	         -37.44	         344.30	          19.28	Y
201603	1215   	卜蜂        	            .95	           4.29	           4.76	          21.15	           1.17	     4255524.00	      260953.00	      416823.00	          14.32	            .94	           7.49	           6.16	          21.22	         111.76	          41.17	Y
201603	1216   	統一        	            .76	           3.44	           4.03	          17.64	           3.20	   109945093.00	     6398071.00	    13728767.00	          34.24	           1.13	           7.48	           1.65	           5.75	          93.87	          59.27	Y
201603	1217   	愛之味      	           -.07	            .31	           -.54	          10.87	            .74	      981744.00	      -32326.00	       35790.00	          30.52	            .71	          -3.34	           5.59	           6.15	         104.95	          46.63	Y
201603	1218   	泰山        	            .16	            .74	           1.54	          10.19	           1.27	     1817257.00	       53065.00	      101834.00	          16.10	            .97	           3.07	          -8.08	           2.28	         138.81	          56.77	Y
201603	1219   	福壽        	            .13	           1.13	            .68	          12.07	           1.27	     2633013.00	       26721.00	       78441.00	           8.85	            .96	           1.61	          13.24	          25.35	         202.89	          47.67	Y
201603	1220   	台榮        	            .19	           2.23	           1.68	          12.29	            .86	      648262.00	       38904.00	       62295.00	          14.49	            .71	           7.14	         -22.84	          86.76	         458.82	          20.99	Y
201603	1225   	福懋油      	            .43	           2.66	           3.25	          14.68	           2.12	     2566265.00	      114629.00	      174243.00	          10.43	           1.38	           5.39	          -6.04	          59.68	         305.90	          44.50	Y
201603	1227   	佳格        	           1.11	           6.02	           6.33	          17.88	           4.50	     7422008.00	      878890.00	     1223054.00	          32.00	           3.21	          14.94	           3.33	           -.13	         273.41	          28.91	Y
201603	1229   	聯華        	            .38	           1.67	           1.66	          23.24	            .87	     1228718.00	      339308.00	      411255.00	          21.33	            .87	          26.48	           4.53	          79.07	          81.59	          17.20	Y
201603	1231   	聯華食      	            .84	           3.32	           4.38	          19.70	           1.50	     1691729.00	      125901.00	      216509.00	          22.72	           1.04	           8.92	            .84	           4.56	         168.69	          54.57	Y
201603	1232   	大統益      	           1.09	           5.56	           4.66	          23.99	           3.29	     3927503.00	      176742.00	      237586.00	           9.80	           2.60	           5.42	         -17.33	         -13.46	         448.28	          20.94	Y
201603	1233   	天仁        	            .55	           4.01	           3.46	          16.26	           2.37	      564879.00	       50633.00	       77941.00	          57.22	           1.84	          10.95	          -1.35	          -4.79	         220.12	          23.53	Y
201603	1234   	黑松        	            .22	            .73	            .50	          43.53	            .81	     1791336.00	       88077.00	      161942.00	          23.13	            .65	           5.82	          31.83	           6.17	         375.26	          19.67	Y
201603	1235   	興泰        	           1.42	           2.01	           5.21	          30.11	            .79	       12485.00	       83417.00	       90642.00	          36.84	            .84	         442.08	         -14.38	        1002.35	         226.52	          43.40	Y
201603	1236   	宏亞        	            .30	           2.30	           1.68	          17.79	           1.17	      678124.00	       32507.00	       84156.00	          25.56	            .93	           6.60	         -14.38	         -27.47	         135.78	          41.01	Y
201603	1256   	鮮活果汁-KY 	           1.44	           5.48	           4.39	          33.42	           3.70	      539601.00	       39253.00	       93916.00	          28.04	           2.14	          11.91	           5.79	           1.87	         156.88	          48.22	Y
201603	1258   	其祥-KY     	           1.18	           3.95	           4.91	          23.53	           1.65	      608031.00	       40700.00	       63543.00	          19.87	           1.04	           7.81	          87.56	          15.26	         209.77	          46.79	Y
201603	1259   	安心        	           1.02	           3.18	           1.56	          50.53	           1.41	     1112922.00	       25979.00	       82587.00	          26.42	            .89	           3.14	           5.65	           8.21	         240.52	          34.70	Y
201603	1262   	綠悅-KY     	           2.65	           5.03	           3.85	          69.61	           1.81	     1504891.00	      393511.00	      594190.00	          37.45	           1.59	          30.83	           6.97	           8.75	         294.91	          12.57	Y
201603	1264   	德麥        	           3.39	           5.82	           5.20	          68.01	           2.84	      941946.00	      121897.00	      169060.00	          37.58	           2.08	          16.87	            .43	           2.94	         461.10	          17.24	Y
201603	1301   	台塑        	            .90	           2.15	           1.96	          46.38	           1.72	    42782369.00	     5712824.00	     9210764.00	          12.74	           1.37	          15.55	         -10.30	          -2.21	         241.76	          32.62	Y
201603	1303   	南亞        	            .68	           2.15	           1.55	          41.65	           1.62	    65469083.00	     5290566.00	    11124631.00	          11.65	           1.24	           9.69	         -17.68	         -30.95	         278.43	          34.09	Y
201603	1304   	台聚        	            .27	           1.77	           1.44	          16.86	            .85	    12738367.00	      446718.00	     1022003.00	          12.14	            .53	           4.47	          -2.51	          14.24	         214.86	          45.17	Y
201603	1305   	華夏        	            .38	           2.85	           2.85	          14.19	           1.13	     3765844.00	      191844.00	      336608.00	          15.04	            .76	           6.12	           2.86	          12.72	         233.18	          44.71	Y
201603	1307   	三芳        	            .99	           4.46	           4.46	          22.57	           1.74	     3071065.00	      383314.00	      639481.00	          29.37	           1.25	          15.06	           3.35	          11.58	         227.94	          39.26	Y
201603	1308   	亞聚        	            .19	           1.53	           1.09	          17.98	           1.01	     1333909.00	       96014.00	      139385.00	          12.29	            .92	           8.68	           8.39	          30.23	         316.67	          14.82	Y
201603	1309   	台達化      	            .15	           1.45	           1.47	          10.41	            .74	     3689655.00	       49775.00	      132325.00	           6.98	            .68	           1.88	          -9.46	          -6.73	         142.48	          62.90	Y
201603	1310   	台苯        	            .78	           5.15	           5.84	          12.51	           1.41	     3517882.00	      395950.00	      616466.00	          18.05	           1.04	          14.27	          55.09	         406.12	         150.64	          42.02	Y
201603	1312   	國喬        	            .64	           4.26	           3.13	          18.58	            .92	     4567845.00	      600518.00	     1121746.00	          17.46	            .69	          14.53	          -8.76	          31.74	         251.41	          16.75	Y
201603	1313   	聯成        	            .03	           1.30	            .18	          15.67	            .59	     9067638.00	       32178.00	      476961.00	           5.68	            .68	            .37	         -17.08	          -2.05	         183.81	          51.12	Y
201603	1314   	中石化      	           -.31	           -.22	          -1.37	          22.51	            .36	     5310386.00	     -721949.00	     -232330.00	          -8.58	            .38	         -13.40	         -28.22	        -368.45	         286.31	          30.62	Y
201603	1315   	達新        	            .16	            .40	            .43	          37.57	            .67	      709159.00	       30558.00	       52362.00	          20.06	            .60	           4.88	          11.33	          20.93	         355.40	          23.12	Y
201603	1316   	上曜        	           -.22	           -.67	          -1.72	           7.29	           1.53	      123423.00	      -31888.00	      -23174.00	          22.50	            .75	         -25.00	         -40.77	         -26.33	         261.97	          47.36	Y
201603	1319   	東陽        	           1.04	           4.40	           3.28	          31.52	           1.53	     6000770.00	      635667.00	     1575504.00	          26.02	           1.08	          13.02	           6.22	          18.87	         113.65	          44.45	Y
201603	1321   	大洋        	            .02	            .61	            .07	          22.48	           1.23	     1006855.00	        3533.00	       64983.00	           6.58	            .91	            .35	         -21.63	         -21.10	         105.19	          53.74	Y
201603	1323   	永裕        	            .68	           4.44	           3.75	          19.75	           1.65	      732152.00	       74185.00	      166264.00	          27.68	           1.03	          14.12	          -2.97	           9.12	         334.02	          45.40	Y
201603	1324   	地球        	            .23	           1.86	           1.75	          13.37	            .84	      284390.00	       17404.00	       29632.00	          22.36	            .64	           7.56	         -10.05	           8.09	         365.00	          23.38	Y
201603	1325   	恒大        	            .35	           2.79	           1.78	          18.81	           1.04	      259931.00	       35031.00	       59146.00	          26.39	            .93	          16.24	          -7.16	          61.95	        1783.18	           6.21	Y
201603	1326   	台化        	           1.16	           2.83	           2.30	          50.00	           1.61	    75799504.00	     7819137.00	    14601798.00	          13.97	           1.15	          12.00	          -6.32	          71.00	         282.32	          33.85	Y
201603	1333   	恩得利      	           -.21	           -.57	          -4.61	           4.33	           1.08	      144352.00	      -21129.00	       -6214.00	          13.62	            .83	         -14.58	         -36.15	         -50.90	          87.33	          54.94	Y
201603	1336   	台翰        	           -.44	            .56	          -2.01	          21.36	            .37	      446486.00	      -27456.00	       14639.00	           6.74	            .55	          -7.27	           6.59	         172.92	          93.09	          47.51	Y
201603	1337   	再生-KY     	            .44	           2.38	           1.10	          39.89	            .49	     1229646.00	      113708.00	      263180.00	          23.69	            .47	          13.12	          46.84	          62.58	         527.45	           6.91	Y
201603	1338   	廣華-KY     	           2.25	           4.11	           2.70	          78.24	           1.58	     1911843.00	      180001.00	      359245.00	          28.43	           1.24	          12.47	          -2.45	          14.11	         302.88	          24.99	Y
201603	1339   	昭輝        	            .71	           3.38	           1.60	          40.26	           1.40	      581580.00	       51077.00	      147280.00	          28.78	           1.07	          10.36	          53.99	          16.19	         168.89	          40.31	Y
201603	1340   	勝悅-KY     	           1.51	           3.34	           3.03	          50.41	           1.37	      666825.00	      173201.00	      213202.00	          33.09	           1.25	          30.86	          12.63	           7.86	         997.30	           8.94	Y
201603	1402   	遠東新      	            .17	           1.63	            .99	          36.54	            .72	    51581107.00	     2566862.00	     8884932.00	          24.67	            .65	           6.91	          -3.61	           -.91	         108.52	          49.98	Y
201603	1409   	新纖        	            .09	            .57	            .59	          15.33	            .59	     7937929.00	      193888.00	      735633.00	          13.02	            .23	           3.18	          -7.53	          -5.99	         100.15	          74.09	Y
201603	1410   	南染        	            .40	           3.29	           2.54	          16.92	           1.41	      140795.00	       31915.00	       51232.00	          39.55	           1.10	          25.76	           4.93	          26.19	         675.07	          18.59	Y
201603	1413   	宏洲        	           -.03	            .55	           -.40	           6.34	           1.12	      469331.00	       -3319.00	       12786.00	           2.00	            .77	           -.71	         -19.65	         161.96	         116.61	          63.85	Y
201603	1414   	東和        	           -.02	            .31	           -.14	          13.97	            .45	      169012.00	       -4234.00	       13822.00	           5.82	            .45	          -2.96	         -33.64	         619.43	          93.27	          35.22	N
201603	1416   	廣豐        	           1.46	           2.75	           7.35	          20.43	            .93	     2019460.00	      385038.00	      289838.00	          28.92	            .80	          13.88	         132.45	         144.33	         131.73	          51.11	Y
201603	1417   	嘉裕        	           -.32	          -1.60	          -2.88	          11.06	            .47	      894116.00	     -121473.00	      -88243.00	          15.59	            .51	         -13.56	          -4.88	         -36.69	         237.47	          26.40	Y
201603	1418   	東華        	           -.21	            .01	          -5.29	           3.89	           1.50	      510576.00	      -26097.00	         212.00	           5.07	            .80	          -5.03	          55.08	         211.00	          49.71	          74.33	Y
201603	1419   	新紡        	           -.04	            .16	           -.22	          23.82	           1.55	      239021.00	      -16025.00	       18406.00	          25.55	           1.25	          -5.49	          14.45	          56.60	          60.45	          36.53	Y
201603	1423   	利華        	            .03	            .24	            .19	          14.92	            .45	      162036.00	        4887.00	        6592.00	           8.40	            .42	           1.70	           3.82	         277.18	        7817.14	           7.83	N
201603	1432   	大魯閣      	            .59	          -1.03	           3.16	          14.09	           1.65	       77247.00	       89289.00	      109268.00	          65.53	            .92	          65.44	         123.88	         936.25	          53.49	          58.92	Y
201603	1434   	福懋        	            .38	           2.03	           1.24	          34.56	            .91	    10429595.00	      730154.00	     1695012.00	          16.17	            .81	           9.11	          -5.44	          12.78	         228.57	          27.79	Y
201603	1435   	中福        	           -.05	           -.21	           -.66	           7.46	            .72	         311.00	       -6163.00	       -4312.00	          88.12	            .61	        -111.79	         -22.55	         -23.05	        8099.34	          15.60	Y
201603	1436   	華友聯      	           -.32	            .14	          -1.00	          32.13	           1.24	       74337.00	      -22318.00	        1627.00	          28.02	           1.04	         -25.65	          53.64	          51.96	         150.22	          66.81	Y
201603	1437   	勤益控      	            .31	           1.18	           1.32	          23.62	            .54	       30006.00	       61674.00	      110498.00	          76.11	            .68	          45.15	         -34.03	          56.00	         265.30	          49.01	Y
201603	1438   	裕豐        	           -.01	           -.21	           -.26	           5.35	            .84	          49.00	       -1422.00	       -1297.00	         -42.86	            .74	       -2902.04	         -99.79	        -100.12	       31132.18	          11.42	N
201603	1439   	中和        	           -.04	           -.03	           -.17	          21.53	            .64	      101753.00	       -3326.00	       -2156.00	           3.94	            .59	          -3.56	          10.54	            .31	       15552.78	           7.40	N
201603	1440   	南紡        	            .02	            .76	            .04	          15.52	            .87	     4152819.00	       11076.00	      309595.00	          11.20	            .72	            .63	         -20.40	         -26.80	         102.74	          35.43	Y
201603	1441   	大東        	           -.29	           -.25	          -3.41	           8.36	            .86	      424735.00	      -26237.00	         385.00	           3.73	            .81	          -6.18	         -13.37	         -46.65	         116.32	          74.35	Y
201603	1442   	名軒        	            .03	            .38	            .17	          20.38	            .93	      189270.00	        8212.00	       15908.00	          25.54	            .84	           7.22	          -2.24	         -33.65	         345.59	          65.78	Y
201603	1443   	立益        	           -.79	          -1.88	         -14.06	           8.24	            .64	      232146.00	     -131077.00	      -88852.00	          -5.91	            .69	         -49.12	          -2.54	          28.77	          62.55	          81.06	Y
201603	1444   	力麗        	            .00	            .70	           -.05	          11.89	            .81	     2407514.00	       -6394.00	      177102.00	           9.04	            .75	            .08	         -12.77	         -22.88	         121.38	          35.49	Y
201603	1445   	大宇        	            .10	           1.24	            .68	          14.08	            .69	      394716.00	       13304.00	       28986.00	          13.19	            .57	           4.18	         -16.49	           3.59	         682.02	          16.61	Y
201603	1446   	宏和        	            .02	            .26	            .15	          12.95	           1.58	      224242.00	        2742.00	       10117.00	          20.20	           1.20	           2.19	          12.35	          -6.24	         172.62	          53.22	Y
201603	1447   	力鵬        	           -.22	           -.29	          -1.80	          11.79	            .77	     3195263.00	     -190719.00	      -69684.00	           1.03	            .76	          -7.29	         -30.73	         -56.07	         122.15	          51.33	Y
201603	1449   	佳和        	           -.82	          -1.66	         -10.54	           6.36	            .78	      640968.00	     -110848.00	      -84201.00	           -.70	            .59	         -17.68	           -.32	        -114.59	         113.26	          80.80	Y
201603	1451   	年興        	            .58	           3.23	           2.30	          25.48	            .96	     3079710.00	      233517.00	      432549.00	          14.80	            .82	           9.19	          11.99	         114.44	         421.05	          25.05	Y
201603	1452   	宏益        	            .29	           2.58	           1.55	          18.82	           1.30	      499511.00	       38445.00	       68949.00	          16.27	           1.18	          11.44	         -13.35	         -25.69	         853.31	           8.92	N
201603	1453   	大將        	            .06	           -.35	            .54	          11.38	            .79	       10635.00	        5457.00	        7981.00	         -14.98	            .74	          54.19	         -65.59	          79.11	         842.24	          12.18	Y
201603	1454   	台富        	            .06	           1.35	            .47	          12.83	            .76	      419027.00	        7976.00	       29681.00	          10.51	            .71	           2.51	         -21.41	         -33.18	         283.35	          24.07	Y
